,0
0,-19188.778223060508
1,-19130.512114048594
2,-18086.554214773518
3,-18817.015320682287
4,-17847.677772848092
5,-17830.654796367915
6,-19218.73733550147
7,-17404.481824657712
8,-17454.15725118794
9,-14589.163064557148
10,-19646.73657143089
11,-17290.991226409304
12,-17031.59188617119
13,-20449.801825216662
14,-16463.376908099533
15,-19804.163654840213
16,-16102.864659274772
17,-18005.61622846409
18,-17361.97436894329
19,-20535.767981483714
20,-19318.754426692798
21,-21452.75080240926
22,-19100.612658827635
23,-18260.172869629365
24,-18328.126833834704
25,-19586.30358477086
26,-18745.666400444887
27,-19543.75987892361
28,-20369.55180412806
29,-21605.734697240026
30,-19513.333110763906
31,-15968.866965306559
32,-18663.33480136467
33,-17145.47770015063
34,-15376.465959732071
35,-16196.403396903206
36,-16418.955903585
37,-16187.73805616406
38,-16791.819285951176
39,-13541.760700013518
40,-20132.42525972064
41,-19629.593936151716
42,-16612.460150374543
43,-16494.48975937965
44,-18979.636195747193
45,-19957.459244340054
46,-16719.004465508013
47,-24943.555476964808
48,-16819.0870020415
49,-16566.92513166229
50,-16479.896385813532
51,-15005.593356764817
52,-15655.229219680064
53,-14111.91660283584
54,-16193.65387503424
55,-18679.569271785505
56,-17714.105726973194
57,-19205.10856068284
58,-20350.249054736378
59,-18801.316285053024
60,-18367.479602612682
61,-15041.073120717327
62,-16516.545112533564
63,-16179.144674679013
64,-16121.640383410286
65,-18721.99575416055
66,-11961.024855087566
67,-13973.977195578893
68,-16303.561843838781
69,-14172.969897861665
70,-12028.13134746571
71,-17426.88847753183
72,-7537.196779806463
73,-16040.764289175379
74,-10763.82178561897
75,-12279.938424676326
76,-10658.14476241244
77,-13569.736711286037
78,-13747.109391671282
79,-15805.069118030378
80,-11366.788678513862
81,-12200.949015095155
82,-10386.373693025147
83,-10906.910817427313
84,-17529.168440974892
85,-13603.311310816633
86,-15814.525062099894
87,-12585.81951268249
88,-17462.4769011486
89,-10147.494742724351
90,-7784.641979264348
91,-11394.920426083147
92,-7612.378027145003
93,-7030.805628946444
94,-6564.3291337229075
95,-7917.047543353826
96,-7910.859959118798
97,-17827.571149899988
98,-7719.37020811374
99,-7658.278755476221
100,-7504.265843158241
101,-11223.755793204611
102,-8508.003763637997
103,-14846.553552222584
104,-14123.714273351745
105,-7075.114484181172
106,-5570.232670929804
107,-6508.3759180049265
108,-7589.999335880459
109,-5975.702300107319
110,-5478.2016554735455
111,-5554.202932696264
112,-5899.427142945341
113,-5437.89927040494
114,-4988.354910955656
115,-5027.534605113659
116,-5236.340527781984
117,-5588.134607801191
118,-6208.27059276993
119,-6324.50435007616
120,-4429.5939204019405
121,-3848.5399109116215
122,-5441.723879516218
123,-5062.097554523168
124,-3122.788681738537
125,-4327.373179624218
126,-4633.443089208862
127,-3148.280215787171
128,-3801.2092723421824
129,-3991.9985582265494
130,-4790.75615901344
131,-3172.6635798607067
132,-3432.1142745602106
133,-3638.531450452553
134,-3768.944649716391
135,-3790.1050373284916
136,-3656.857080894201
137,-3642.318579423393
138,-4594.059455544682
139,-5481.967995294877
140,-3427.2696890953034
141,-4319.673794512075
142,-4858.720372312175
143,-5966.0906928887
144,-5910.793496267464
145,-6047.001925586159
146,-5796.506358514406
147,-4994.394804101368
148,-5033.054602966322
149,-5567.5202697559735
150,-3961.5967475940583
151,-3345.137890674293
152,-3834.1782049923795
153,-3160.066941231238
154,-5954.341844469089
155,-5675.5627628394195
156,-10619.335315579287
157,-7752.921124458122
158,-3303.118921029067
159,-4947.427284269857
160,-4499.083422645897
161,-2750.5553958959654
162,-2993.409837707617
163,-3097.5022508725856
164,-4999.941321602459
165,-3521.3512126790965
166,-3614.599808429202
167,-3536.0038878393184
168,-3394.0755550906933
169,-5336.887528715656
170,-3977.2156571391024
171,-8545.20394516015
172,-4148.910671501786
173,-7145.3077062094235
174,-4245.833536154545
175,-4230.197364946409
176,-2689.838156417912
177,-3109.7708937903894
178,-3553.3228565279765
179,-3569.433379130346
180,-3930.559178542182
181,-4162.716787234438
182,-5251.212829224857
183,-4973.820891894644
184,-5733.132053400856
185,-4811.777407779175
186,-5006.469230315995
187,-3902.391674615423
188,-4074.0860437224096
189,-4539.7709566782605
190,-3440.0303892008587
191,-7342.097890767594
192,-11238.001457041959
193,-5230.167808417644
194,-5657.2778509001455
195,-6431.248326295398
196,-5315.7102102460385
197,-3960.42496329882
198,-3645.770041913477
199,-3859.1168319095186
200,-4033.275915589078
