,0
0,-13957.689049311539
1,-15752.222726694594
2,-14961.00345761411
3,-14808.25690819411
4,-14009.198496457719
5,-13176.859111839385
6,-14884.048698867347
7,-14669.096531722837
8,-13823.178008126273
9,-14653.565334703933
10,-14404.501699762011
11,-14136.324428946518
12,-14330.16405062048
13,-16529.58641531965
14,-15819.301785857093
15,-14288.875001424003
16,-11920.036074418078
17,-15226.19784426368
18,-14100.473059650796
19,-14798.701080208022
20,-14787.302349028429
21,-14614.479617976274
22,-13000.989726048869
23,-13882.955237316934
24,-12822.1721752962
25,-14892.136139572845
26,-10227.507382239077
27,-15265.735517911986
28,-14735.621064589242
29,-16990.72569382494
30,-13344.94396152582
31,-15208.746710718586
32,-14430.009688063432
33,-14755.705385274754
34,-15008.83685455771
35,-15057.48222006948
36,-15084.003359387567
37,-13398.934560739872
38,-16578.86354928651
