,0
0,-13957.689049311539
1,-15752.222726694594
2,-14961.00345761411
3,-14808.25690819411
4,-14009.198496457719
5,-13176.859111839385
6,-14884.048698867347
7,-14669.096531722837
8,-13823.178008126273
9,-14653.565334703933
10,-14404.501699762011
11,-14136.324428946518
12,-14330.16405062048
13,-16529.58641531965
14,-15819.301785857093
15,-14288.875001424003
16,-11920.036074418078
17,-15226.19784426368
18,-14100.473059650796
19,-14798.701080208022
20,-14787.302349028429
21,-14614.479617976274
22,-13000.989726048869
23,-13882.955237316934
24,-12822.1721752962
25,-14892.136139572845
26,-10227.507382239077
27,-15265.735517911986
28,-14735.621064589242
29,-16990.72569382494
30,-13344.94396152582
31,-15208.746710718586
32,-14430.009688063432
33,-14755.705385274754
34,-15008.83685455771
35,-15057.48222006948
36,-15084.003359387567
37,-13398.934560739872
38,-16578.86354928651
39,-16758.48108153925
40,-15191.288858065716
41,-16832.112762000175
42,-15604.122513034163
43,-14151.629872595804
44,-12696.795771514962
45,-13485.66158232117
46,-15235.005922390274
47,-13423.305704292836
48,-15042.290693493098
49,-15499.841267725937
50,-13979.395612594943
51,-12746.175691126307
52,-14503.41374151092
53,-14717.488808267904
54,-13667.790350501245
55,-14217.603992422597
56,-14904.302311788666
57,-14720.841398221348
58,-15309.925320636099
59,-14823.352815165821
60,-14123.42058438066
61,-13652.29248387773
62,-14143.260589054873
63,-13324.1369134237
64,-12264.591316327487
65,-13218.293335046668
66,-13098.51698964441
67,-14461.61329835798
68,-14267.050797380452
69,-14554.501166874019
70,-15851.060166008267
71,-15122.504076913718
72,-14343.176668227132
73,-14066.720964456501
74,-10894.611525435615
75,-13896.192169672237
76,-14281.427686633087
77,-13260.151408585105
78,-8920.36857283588
79,-12712.080048430964
80,-10027.582685776893
81,-11245.620448779076
82,-11608.171416998262
83,-12277.459286053334
84,-9815.613396806448
85,-15009.237019174174
86,-9218.918623388987
87,-9313.368701078489
88,-8306.45580147799
89,-10972.320343768959
90,-14058.858465825295
91,-14778.220710294332
92,-8394.211129442821
93,-16063.165335930471
94,-10458.656227119993
95,-6562.204268518185
96,-13316.148970766062
97,-15260.654646215446
98,-10617.615486765562
99,-14776.739612725232
100,-14229.051399475069
101,-12403.492017405804
102,-10781.725543152415
103,-13667.674441814752
104,-9221.83930745034
105,-7816.60089628149
106,-3285.550573633569
107,-3518.0629119390433
108,-2759.4639913493766
109,-5667.520293471227
110,-4621.096799859793
111,-5468.392436632001
112,-8068.655203317614
113,-6800.836921490811
114,-6304.887369937302
115,-3462.1125573533013
116,-5084.2071515585285
117,-6880.268785153099
118,-14507.831693496473
119,-4536.381449970605
120,-3663.5265270043446
121,-3564.813406234168
122,-3743.5514536360524
123,-3587.188193086384
124,-3935.3662483953144
125,-3433.774243765666
126,-3243.764477204578
127,-4372.435540546927
128,-4740.507947997632
129,-3097.212916619367
130,-3040.9849725269873
131,-4297.766648219569
132,-13478.839874481444
133,-3121.871164289303
134,-13453.481916416475
135,-13548.952672443858
136,-11510.605238890323
137,-13467.07607594133
138,-14393.857777065967
139,-14538.358891930058
140,-13080.819538510706
141,-15378.589780146769
142,-12044.431678749326
143,-12637.102156088571
144,-14225.765579140887
145,-13658.684559002533
146,-14434.661479276052
147,-6553.636751581919
148,-6793.493184992578
149,-7704.3224271529325
150,-9707.003838644052
151,-7475.078988077241
152,-6803.505378201738
153,-4841.263908373328
154,-5455.216157959363
155,-5682.97122735463
156,-8072.797292766013
157,-4285.548430548614
158,-3068.5439921943002
159,-2860.0963464683687
160,-3449.064635890926
161,-3461.7186752183893
162,-3656.5704210126205
163,-3832.234271630008
164,-10673.252292229783
165,-4126.573463584128
166,-10894.103066324866
167,-13900.746929373043
168,-13628.610666393555
169,-9242.525948100712
170,-9286.050529490774
171,-13693.293237276113
172,-13958.76912237467
173,-3649.4913402822735
174,-3010.0535610237553
175,-4283.204116504161
176,-3632.1385705244793
177,-3262.7089016977216
178,-3931.90236062099
179,-3503.9672829512238
180,-5071.36427850333
181,-2685.8382765826823
182,-2382.2112719438355
183,-2753.623021893903
184,-1923.16656584505
185,-2499.88065845242
186,-2766.365999225671
