,0
0,-12170.816980756903
1,-12693.003719225448
2,-16220.254880112017
3,-14914.918819921328
4,-17803.22882343285
5,-17316.59183689832
6,-15722.29527525781
7,-13355.727062647453
8,-14419.473410704348
9,-14573.631160167159
10,-12462.180593876215
11,-13380.253577264526
12,-14153.809401603625
13,-15175.392993593836
14,-13691.335990066616
15,-15997.488218260802
16,-14063.731518914094
17,-10789.426084537965
18,-13593.100546311634
19,-13098.392937574095
20,-14772.128359119528
21,-12412.757881196758
22,-14348.606287032162
23,-11577.355089786946
24,-12121.411828774888
25,-13697.898132664766
26,-13279.337898318281
27,-13531.132864305333
28,-10638.80259569959
29,-15140.738376875912
30,-14912.67754410051
31,-11643.99398247523
32,-7481.666593440137
33,-11993.459700827283
34,-14246.477237986017
35,-13649.485420037405
36,-13294.23235746526
37,-9996.811799783416
38,-12859.794256158088
39,-10070.51831850741
