,0
0,-12984.441659262506
1,-16743.92332284485
2,-11820.364595204319
3,-14247.37158105192
4,-12710.27479796289
5,-14263.411350766593
6,-13421.328670732353
7,-14153.555817360664
8,-11668.896095829825
9,-11694.785452472173
10,-13849.636971806645
11,-9527.188516935013
12,-11476.763586930701
13,-13271.787325492798
14,-13932.770743688417
15,-12518.349935054412
16,-12135.629701580694
17,-9070.993047829874
18,-10935.492061649464
19,-7702.652690874452
20,-16017.769595187821
21,-12207.575751276756
22,-9940.936665713
23,-9065.49809291547
24,-13946.469989142792
25,-6514.616089380737
26,-12310.503595348768
27,-12388.008648661482
28,-13566.570103755987
29,-12010.544715091652
30,-13769.746883580225
31,-13957.872168201622
32,-12336.33052974936
33,-13464.643603461169
34,-12952.629961940871
35,-11457.555436459414
36,-11994.166777170007
37,-14209.907299443144
38,-13765.383325258523
39,-13407.290483076173
40,-12054.135353914999
41,-12734.964411473684
42,-13131.74511280795
43,-10250.553221348073
44,-14300.709553484714
45,-13851.672741095132
46,-13486.682078358188
47,-16070.68211852879
48,-15959.253753505629
49,-13133.7929668558
50,-17070.241005467225
51,-7438.394329043813
52,-11598.745291309602
53,-7955.9808429508175
54,-4165.18905714539
55,-11073.145097057199
56,-12522.413771596348
57,-6040.359101835257
58,-10690.76630267288
59,-11573.668023701863
60,-13647.296160137956
61,-12772.275501762857
62,-12729.803610718776
63,-15099.031432969248
64,-13303.382042358531
65,-3837.27680120842
66,-5307.503173113464
67,-4419.592769430221
68,-9996.02518938245
69,-13231.327557895953
70,-13889.463302750974
71,-13506.831061548175
72,-14664.954060960774
73,-13321.990883765404
74,-13888.382315644387
75,-11613.230294370807
76,-14249.736864907105
77,-13530.021389255251
78,-12786.662306696055
79,-13651.044646841174
80,-13309.105098518203
81,-11197.145522366893
82,-8628.508815913086
83,-12880.921484958566
84,-6881.186759562637
85,-5626.59018927092
86,-7426.579948655391
87,-2202.8866931927214
88,-5853.127001460815
89,-7938.140038651116
90,-7873.6560498657755
91,-6934.395388755389
92,-8322.739131239923
93,-3974.1554316051247
94,-4633.412751292611
95,-9202.25360117219
96,-7253.413768242712
97,-6809.142539285904
98,-7240.123856493806
99,-5928.5701445458635
100,-4796.3201356398695
101,-4846.477716138322
102,-9461.66802251372
103,-6517.017279152569
104,-6887.630122599769
105,-12264.614354641759
106,-5144.477868251115
107,-7846.158115763707
108,-6372.591311668118
109,-4862.559259785168
110,-5879.88181836024
111,-4581.205294741125
112,-3495.596598505626
113,-4543.464233016739
114,-3871.1195079961226
115,-3110.44550547451
116,-2554.740296904622
117,-1784.3757636931018
118,-2626.9483352015536
119,-2992.797660126637
120,-2497.3803105975667
121,-2505.6552386880685
122,-2053.7744497807616
123,-1442.7818661604153
124,-2251.470406599703
125,-2435.771968152477
126,-1990.2551421133626
127,-2176.240628507215
128,-2464.302552070797
129,-4228.308388295849
130,-5408.835489671468
131,-6210.134291149174
132,-4753.988280078264
133,-3620.9080551923157
134,-2950.0218395715565
135,-2882.571344951356
136,-2703.692643504577
137,-2504.4257994464015
138,-1205.589108877217
139,-2804.6659038876173
140,-2506.8988907036937
141,-3298.7907283785607
142,-1879.1389588767004
143,-1519.6525705136346
144,-1408.481206336052
145,-2801.1385067581323
146,-2121.482571227101
147,-3386.263102361041
148,-2404.3122565060107
149,-2385.0629721944847
150,-4297.086708342724
151,-4928.577731474755
152,-3494.8111441746732
153,-2415.4733423499897
154,-2878.2852490182345
155,-2558.42175284362
156,-4525.288634972668
157,-2305.3258272621497
158,-1810.0618256818593
159,-2648.3064095239515
160,-2822.543610794871
161,-4747.492375742861
162,-6586.20872123114
163,-2686.4945586026397
164,-5861.560250146673
165,-5803.099555827956
166,-3045.0464117341544
167,-3317.6053247747914
168,-2337.2588721557654
169,-1841.6405982160163
170,-4509.120765848782
171,-3617.1662111517808
172,-3151.8516352927772
173,-2522.3484669772793
174,-2990.603152436729
175,-3312.5292199737496
176,-5343.795861852132
177,-6273.164095741348
178,-5759.235634091893
179,-6055.002516464999
180,-4398.2153307997705
181,-2724.9646313905746
182,-2587.8068934308535
183,-2895.3585685591406
184,-3552.040117936883
185,-3993.5637806700993
